id,code,name,account_type,type_currency,status,balance,date_modification,date_creation,changed,quantitative,subject_account,full_name,check_excess_balance,created_by
700162,2810,Готовая продукция на складе,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2800. СЧЕТА УЧЕТА ГОТОВОЙ ПРОДУКЦИИ,2810. Готовая продукция на складе,Да,System
700398,2812,Заказанные сырье на складах в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2800. СЧЕТА УЧЕТА ГОТОВОЙ ПРОДУКЦИИ,2812. Заказанные сырье на складах в пути,Да,System
700163,2820,Готовая продукция на выставке,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2800. СЧЕТА УЧЕТА ГОТОВОЙ ПРОДУКЦИИ,2820. Готовая продукция на выставке,Да,System
700164,2830,"Готовая продукция, переданная на комиссию",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2800. СЧЕТА УЧЕТА ГОТОВОЙ ПРОДУКЦИИ,"2830. Готовая продукция, переданная на комиссию",Да,System
700165,2840,Готовая продукция по плановой себестоимости,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2800. СЧЕТА УЧЕТА ГОТОВОЙ ПРОДУКЦИИ,2840. Готовая продукция по плановой себестоимости,Да,System
700411,2870,Готовая продукция в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2870. Готовая продукция в пути,Да,System
700166,2910,Товары на складах,Активный,Все валюты,Активный,Да,16.07.2025 15:49:51,29.05.2024 19:41:03,Юсупов Феурз,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2910. Товары на складах,Да,System
700394,2911,Товары на складах в пути,Активный,Все валюты,Активный,Да,05.12.2024 17:33:44,29.05.2024 19:41:03,Юсупов Феурз,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2911. Товары на складах в пути,Да,System
700399,2912,Заказанные товары на складах в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2912. Заказанные товары на складах в пути,Да,System
700167,2920,Товары в розничной торговле,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2920. Товары в розничной торговле,Да,System
700168,2930,Товары на выставке,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2930. Товары на выставке,Да,System
700169,2940,Предметы проката,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2940. Предметы проката,Да,System
700170,2950,Тара под товаром в оптовой торговле,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2950. Тара под товаром в оптовой торговле,Да,System
700171,2952,Порожняя тара в розничной торговле,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2952. Порожняя тара в розничной торговле,Да,System
700172,2960,"Товары, переданные на комиссию",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,"2960. Товары, переданные на комиссию",Да,System
700173,2970,Товары в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2970. Товары в пути,Да,System
700174,2980,Торговая наценка,Контр - пассивный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2980. Торговая наценка,Да,System
700175,2990,Прочие товары,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,2990. Прочие товары,Да,System
700176,3110,Предоплаченная аренда,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3100. СЧЕТА УЧЕТА РАСХОДОВ БУДУЩИХ ПЕРИОДОВ,3110. Предоплаченная аренда,Да,System
700177,3120,Предоплаченные услуги,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3100. СЧЕТА УЧЕТА РАСХОДОВ БУДУЩИХ ПЕРИОДОВ,3120. Предоплаченные услуги,Да,System
700178,3190,Предоплаченная подписка на периодические издания,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3100. СЧЕТА УЧЕТА РАСХОДОВ БУДУЩИХ ПЕРИОДОВ,3190. Предоплаченная подписка на периодические издания,Да,System
700179,3210,Отсроченный налог на доход (прибыль) по временным разницам,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3200. СЧЕТА УЧЕТА ОТСРОЧЕННЫХ РАСХОДОВ,3210. Отсроченный налог на доход (прибыль) по временным разницам,Да,System
700180,3220,Отсроченные расходы по дисконтам (скидкам),Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3200. СЧЕТА УЧЕТА ОТСРОЧЕННЫХ РАСХОДОВ,3220. Отсроченные расходы по дисконтам (скидкам),Да,System
700181,3290,Прочие отсроченные расходы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,3200. СЧЕТА УЧЕТА ОТСРОЧЕННЫХ РАСХОДОВ,3290. Прочие отсроченные расходы,Да,System
700182,4010,Счета к получению от покупателей и заказчиков,Активный,Все валюты,Активный,Да,05.12.2024 17:33:08,29.05.2024 19:41:03,Юсупов Феурз,Нет,4000. СЧЕТА К ПОЛУЧЕНИЮ,4010. Счета к получению от покупателей и заказчиков,Да,System
700183,4020,Векселя полученные,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,4000. СЧЕТА К ПОЛУЧЕНИЮ,4020. Векселя полученные,Да,System
700379,4090,Счета к получению от покупателей и заказчиков(долгосрочный),Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,4000. СЧЕТА К ПОЛУЧЕНИЮ,4090. Счета к получению от покупателей и заказчиков(долгосрочный),Да,System
700184,4110,Счета к получению от обособленных подразделений,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,"4100. СЧЕТА К ПОЛУЧЕНИЮ ОТ ОБОСОБЛЕННЫХ ПОДРАЗДЕЛЕНИЙ, ДОЧЕРНИХ И ЗАВИСИМЫХ ХОЗЯЙСТВЕННЫХ ОБЩЕСТВ",4110. Счета к получению от обособленных подразделений,Да,System
700185,4120,Счета к получению от дочерних и зависимых хозяйственных обществ,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,"4100. СЧЕТА К ПОЛУЧЕНИЮ ОТ ОБОСОБЛЕННЫХ ПОДРАЗДЕЛЕНИЙ, ДОЧЕРНИХ И ЗАВИСИМЫХ ХОЗЯЙСТВЕННЫХ ОБЩЕСТВ",4120. Счета к получению от дочерних и зависимых хозяйственных обществ,Да,System
700186,4210,"Авансы, выданные по оплате труда",Активный,Все валюты,Активный,Да,18.03.2025 11:52:41,29.05.2024 19:41:03,Юсупов Феурз,Нет,"4200. СЧЕТА УЧЕТА АВАНСОВ, ВЫДАННЫХ ПЕРСОНАЛУ","4210. Авансы, выданные по оплате труда",Да,System
700385,4211,"Авансы, выданные по оплате труда (Кредит)",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,"4200. СЧЕТА УЧЕТА АВАНСОВ, ВЫДАННЫХ ПЕРСОНАЛУ","4211. Авансы, выданные по оплате труда (Кредит)",Да,System
700187,4220,"Авансы, выданные на служебные командировки",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,"4200. СЧЕТА УЧЕТА АВАНСОВ, ВЫДАННЫХ ПЕРСОНАЛУ","4220. Авансы, выданные на служебные командировки",Да,System
700188,4230,"Авансы, выданные на общехозяйственные расходы",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,"4200. СЧЕТА УЧЕТА АВАНСОВ, ВЫДАННЫХ ПЕРСОНАЛУ","4230. Авансы, выданные на общехозяйственные расходы",Да,System
